metro,city_gu,dong_ri_eup_myeon,base_date,year,priority_protected,converted_deposit,top_priority_amount
인천광역시,서구,블로동,2019-04-02,2019,540000000,38000000,13000000
인천광역시,서구,마전동,2019-04-02,2019,540000000,38000000,13000000
인천광역시,서구,금곡동,2019-04-02,2019,540000000,38000000,13000000
인천광역시,서구,오류동,2019-04-02,2019,540000000,38000000,13000000
인천광역시,서구,왕길동,2019-04-02,2019,540000000,38000000,13000000
인천광역시,서구,당하동,2019-04-02,2019,540000000,38000000,13000000
인천광역시,서구,원당동,2019-04-02,2019,540000000,38000000,13000000
인천광역시,서구,청라동,2019-04-02,2019,540000000,38000000,13000000
인천광역시,강화군,,2002-11-01,2002,140000000,25000000,7500000
인천광역시,옹진군,,2002-11-01,2002,140000000,25000000,7500000
인천광역시,강화군,,2008-08-21,2008,150000000,25000000,7500000
인천광역시,옹진군,,2008-08-21,2008,150000000,25000000,7500000
인천광역시,강화군,,2010-07-26,2010,150000000,25000000,7500000
인천광역시,옹진군,,2010-07-26,2010,150000000,25000000,7500000
인천광역시,강화군,,2014-01-01,2014,180000000,30000000,10000000
인천광역시,옹진군,,2014-01-01,2014,180000000,30000000,10000000
인천광역시,강화군,,2018-01-26,2018,270000000,30000000,10000000
인천광역시,옹진군,,2018-01-26,2018,270000000,30000000,10000000
인천광역시,강화군,,2019-04-02,2019,370000000,30000000,10000000
인천광역시,옹진군,,2019-04-02,2019,370000000,30000000,10000000
충청북도,,,2002-11-01,2002,140000000,25000000,7500000
충청북도,,,2008-08-21,2008,150000000,25000000,7500000
충청북도,,,2010-07-26,2010,150000000,25000000,7500000
충청북도,,,2014-01-01,2014,180000000,30000000,10000000
충청북도,,,2018-01-26,2018,270000000,30000000,10000000
충청북도,,,2019-04-02,2019,370000000,30000000,10000000
충청남도,,,2002-11-01,2002,140000000,25000000,7500000
충청남도,,,2008-08-21,2008,150000000,25000000,7500000
충청남도,,,2010-07-26,2010,150000000,25000000,7500000
충청남도,,,2014-01-01,2014,180000000,30000000,10000000
충청남도,,,2018-01-26,2018,270000000,30000000,10000000
충청남도,,,2019-04-02,2019,370000000,30000000,10000000
전북특별자치도,,,2002-11-01,2002,140000000,25000000,7500000
전북특별자치도,,,2008-08-21,2008,150000000,25000000,7500000
전북특별자치도,,,2010-07-26,2010,150000000,25000000,7500000
전북특별자치도,,,2014-01-01,2014,180000000,30000000,10000000
전북특별자치도,,,2018-01-26,2018,270000000,30000000,10000000
전북특별자치도,,,2019-04-02,2019,370000000,30000000,10000000
전라남도,,,2002-11-01,2002,140000000,25000000,7500000
전라남도,,,2008-08-21,2008,150000000,25000000,7500000
전라남도,,,2010-07-26,2010,150000000,25000000,7500000
전라남도,,,2014-01-01,2014,180000000,30000000,10000000
전라남도,,,2018-01-26,2018,270000000,30000000,10000000
전라남도,,,2019-04-02,2019,370000000,30000000,10000000
강원특별자치도,,,2002-11-01,2002,140000000,25000000,7500000
강원특별자치도,,,2008-08-21,2008,150000000,25000000,7500000
강원특별자치도,,,2010-07-26,2010,150000000,25000000,7500000
강원특별자치도,,,2014-01-01,2014,180000000,30000000,10000000
강원특별자치도,,,2018-01-26,2018,270000000,30000000,10000000
강원특별자치도,,,2019-04-02,2019,370000000,30000000,10000000
경상북도,,,2002-11-01,2002,140000000,25000000,7500000
경상북도,,,2008-08-21,2008,150000000,25000000,7500000
경상북도,,,2010-07-26,2010,150000000,25000000,7500000
경상북도,,,2014-01-01,2014,180000000,30000000,10000000
경상북도,,,2018-01-26,2018,270000000,30000000,10000000
경상북도,,,2019-04-02,2019,370000000,30000000,10000000
경상남도,,,2002-11-01,2002,140000000,25000000,7500000
경상남도,,,2008-08-21,2008,150000000,25000000,7500000
경상남도,,,2010-07-26,2010,150000000,25000000,7500000
경상남도,,,2014-01-01,2014,180000000,30000000,10000000
경상남도,,,2018-01-26,2018,270000000,30000000,10000000
경상남도,,,2019-04-02,2019,370000000,30000000,10000000
제주특별자치도,,,2002-11-01,2002,140000000,25000000,7500000
제주특별자치도,,,2008-08-21,2008,150000000,25000000,7500000
제주특별자치도,,,2010-07-26,2010,150000000,25000000,7500000
제주특별자치도,,,2014-01-01,2014,180000000,30000000,10000000
제주특별자치도,,,2018-01-26,2018,270000000,30000000,10000000
제주특별자치도,,,2019-04-02,2019,370000000,30000000,10000000
